# 35761 addresses changed in all 3 diffs
# values from level17.snap; addr  int32_le  float32  hex
* 0x00007ff60ccad008         1348   1.8890e-42  44050000
* 0x00007ff60ccad010         1352   1.8946e-42  48050000
* 0x00007ff60ccad018         1356   1.9002e-42  4c050000
* 0x00007ff60ccad200   1051906354   3.4925e-01  32d1b23e
  0x00007ff60ccad201   1077850833   2.9797e+00  d1b23e40
  0x00007ff60ccad202    624967346   1.6675e-16  b23e4025
  0x00007ff60ccad203    -14335938  -2.1966e+38  3e4025ff
  0x00007ff60ccad204       -56000   nan  4025ffff
  0x00007ff60ccad205   -838861019  -5.3686e+08  25ffffcd
* 0x00007ff60ccad208  -1051906355  -1.2824e+01  cd2e4dc1
  0x00007ff60ccad209  -1077850834  -1.5102e+00  2e4dc1bf
  0x00007ff60ccad20a   -624967347  -2.6987e+16  4dc1bfda
  0x00007ff60ccad20b     14335937   2.0089e-38  c1bfda00
  0x00007ff60ccad20c        55999   7.8471e-41  bfda0000
  0x00007ff60ccad20d   1962934490   1.6226e+32  da000075
* 0x00007ff60ccad5c0     57386000   6.9249e-37  10a46b03
  0x00007ff60ccad5c1    755198884   7.4704e-12  a46b032d
  0x00007ff60ccad5c2     36504427   1.2711e-37  6b032d02
  0x00007ff60ccad5c3       142595   1.9982e-40  032d0200
  0x00007ff60ccad5c4          557   7.8052e-43  2d020000
* 0x00007ff60ccade8a     36504901   1.2712e-37  45052d02
  0x00007ff60ccade8b       142597   1.9982e-40  052d0200
  0x00007ff60ccade8c          557   7.8052e-43  2d020000
* 0x00007ff60ccadea2     36504899   1.2712e-37  43052d02
  0x00007ff60ccadea3       142597   1.9982e-40  052d0200
  0x00007ff60ccadea4          557   7.8052e-43  2d020000
* 0x00007ff60ccadec2     36504901   1.2712e-37  45052d02
  0x00007ff60ccadec3       142597   1.9982e-40  052d0200
  0x00007ff60ccadec4          557   7.8052e-43  2d020000
* 0x00007ff60ccb1868    500501680   5.6394e-21  b00cd51d
  0x00007ff60ccb1869    773707020   3.5887e-11  0cd51d2e
  0x00007ff60ccb186a     36576725   1.2792e-37  d51d2e02
  0x00007ff60ccb186b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccb186c          558   7.8192e-43  2e020000
* 0x00007ff60ccb19a8    451643040   9.7411e-23  a086eb1a
  0x00007ff60ccb19a9    773516166   3.5225e-11  86eb1a2e
  0x00007ff60ccb19aa     36575979   1.2791e-37  eb1a2e02
  0x00007ff60ccb19ab       142874   2.0021e-40  1a2e0200
  0x00007ff60ccb19ac          558   7.8192e-43  2e020000
* 0x00007ff60ccb19f9    762402801   1.3719e-11  f157712d
  0x00007ff60ccb19fa     36532567   1.2743e-37  57712d02
  0x00007ff60ccb19fb       142705   1.9997e-40  712d0200
  0x00007ff60ccb19fc          557   7.8052e-43  2d020000
* 0x00007ff60ccb29a8   1537086352   8.8989e+16  90139e5b
  0x00007ff60ccb29a9    760978963   1.2484e-11  139e5b2d
  0x00007ff60ccb29aa     36527006   1.2736e-37  9e5b2d02
  0x00007ff60ccb29ab       142683   1.9994e-40  5b2d0200
  0x00007ff60ccb29ac          557   7.8052e-43  2d020000
* 0x00007ff60ccb29b0   1537086400   8.8990e+16  c0139e5b
  0x00007ff60ccb29b1    760978963   1.2484e-11  139e5b2d
  0x00007ff60ccb29b2     36527006   1.2736e-37  9e5b2d02
  0x00007ff60ccb29b3       142683   1.9994e-40  5b2d0200
  0x00007ff60ccb29b4          557   7.8052e-43  2d020000
* 0x00007ff60ccb3919    773706962   3.5887e-11  d2d41d2e
  0x00007ff60ccb391a     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccb391b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccb391c          558   7.8192e-43  2e020000
* 0x00007ff60ccb3b48  -1233394048  -3.7536e-06  80e67bb6
