# 52609 addresses changed in all 3 diffs
# values from level17.snap; addr  int32_le  float32  hex
* 0x00007ff60ccad008         1316   1.8441e-42  24050000
* 0x00007ff60ccad010         1320   1.8497e-42  28050000
* 0x00007ff60ccad018         1324   1.8553e-42  2c050000
* 0x00007ff60ccad200    397578393   1.1539e-24  9990b217
  0x00007ff60ccad201    -48778608  -1.2603e+37  90b217fd
  0x00007ff60ccad202   -855828558  -1.3269e+08  b217fdcc
  0x00007ff60ccad203     -3343081   nan  17fdccff
  0x00007ff60ccad204       -13059   nan  fdccffff
  0x00007ff60ccad205   1728053196   6.0446e+23  ccffff66
* 0x00007ff60ccad208   -397578394  -3.8806e+24  666f4de8
  0x00007ff60ccad209     48778607   3.4134e-37  6f4de802
  0x00007ff60ccad20a    855828557   3.0479e-08  4de80233
  0x00007ff60ccad20b      3343080   4.6847e-39  e8023300
  0x00007ff60ccad20c        13058   1.8298e-41  02330000
  0x00007ff60ccad20d   1962934323   1.6226e+32  33000075
* 0x00007ff60ccad5c0   2125830992   1.2070e+38  509bb57e
  0x00007ff60ccad5c1   -125913701  -2.0664e+34  9bb57ef8
  0x00007ff60ccad5c2     33062581   9.1283e-38  b57ef801
  0x00007ff60ccad5c3       129150   1.8098e-40  7ef80100
  0x00007ff60ccad5c4          504   7.0625e-43  f8010000
  0x00007ff60ccad5c5   1124073473   1.2800e+02  01000043
* 0x00007ff60ccad8f0           15   2.1019e-44  0f000000
* 0x00007ff60ccade8a     33030291   9.1102e-38  9300f801
  0x00007ff60ccade8b       129024   1.8080e-40  00f80100
  0x00007ff60ccade8c          504   7.0625e-43  f8010000
  0x00007ff60ccade8d   -268435455  -1.5846e+29  010000f0
* 0x00007ff60ccadea2     33030289   9.1102e-38  9100f801
  0x00007ff60ccadea3       129024   1.8080e-40  00f80100
  0x00007ff60ccadea4          504   7.0625e-43  f8010000
  0x00007ff60ccadea5    536870913   1.0842e-19  01000020
* 0x00007ff60ccadec2     33030291   9.1102e-38  9300f801
  0x00007ff60ccadec3       129024   1.8080e-40  00f80100
  0x00007ff60ccadec4          504   7.0625e-43  f8010000
  0x00007ff60ccadec5            1   1.4013e-45  01000000
* 0x00007ff60ccb1869   -114254187  -5.7316e+34  959e30f9
  0x00007ff60ccb186a     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb186b       129328   1.8123e-40  30f90100
  0x00007ff60ccb186c          505   7.0766e-43  f9010000
  0x00007ff60ccb186d   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccb19a9   -114522212  -5.5989e+34  9c872cf9
  0x00007ff60ccb19aa     33107079   9.1532e-38  872cf901
  0x00007ff60ccb19ab       129324   1.8122e-40  2cf90100
  0x00007ff60ccb19ac          505   7.0766e-43  f9010000
  0x00007ff60ccb19ad   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccb19f8   2072312496   1.3809e+36  b0fa847b
  0x00007ff60ccb19f9   -126122758  -2.0406e+34  fa847bf8
  0x00007ff60ccb19fa     33061764   9.1278e-38  847bf801
  0x00007ff60ccb19fb       129147   1.8097e-40  7bf80100
  0x00007ff60ccb19fc          504   7.0625e-43  f8010000
  0x00007ff60ccb19fd   1073741825   2.0000e+00  01000040
* 0x00007ff60ccb29a8   1695332352   4.1533e+22  00b80c65
  0x00007ff60ccb29a9   -127595336  -1.8583e+34  b80c65f8
  0x00007ff60ccb29aa     33056012   9.1246e-38  0c65f801
  0x00007ff60ccb29ab       129125   1.8094e-40  65f80100
  0x00007ff60ccb29ac          504   7.0625e-43  f8010000
  0x00007ff60ccb29ad    805306369   4.6566e-10  01000030
* 0x00007ff60ccb29b0   1695332400   4.1533e+22  30b80c65
  0x00007ff60ccb29b1   -127595336  -1.8583e+34  b80c65f8
  0x00007ff60ccb29b2     33056012   9.1246e-38  0c65f801
  0x00007ff60ccb29b3       129125   1.8094e-40  65f80100
  0x00007ff60ccb29b4          504   7.0625e-43  f8010000
  0x00007ff60ccb29b5    268435457   2.5244e-29  01000010
* 0x00007ff60ccb3918    815697008   1.1536e-09  708c9e30
  0x00007ff60ccb3919   -114254196  -5.7316e+34  8c9e30f9
  0x00007ff60ccb391a     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb391b       129328   1.8123e-40  30f90100
  0x00007ff60ccb391c          505   7.0766e-43  f9010000
  0x00007ff60ccb391d   1073741825   2.0000e+00  01000040
* 0x00007ff60ccb3b48   -579267840  -1.1217e+18  001379dd
  0x00007ff60ccb3b49   -119703277  -3.5936e+34  1379ddf8
  0x00007ff60ccb3b4a     33086841   9.1419e-38  79ddf801
* 0x00007ff60ccb3b4c          504   7.0625e-43  f8010000
  0x00007ff60ccb3b4d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4279   -114254157  -5.7316e+34  b39e30f9
  0x00007ff60ccb427a     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb427b       129328   1.8123e-40  30f90100
  0x00007ff60ccb427c          505   7.0766e-43  f9010000
  0x00007ff60ccb427d    872415233   1.1921e-07  01000034
* 0x00007ff60ccb44d1   -114254151  -5.7316e+34  b99e30f9
  0x00007ff60ccb44d2     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb44d3       129328   1.8123e-40  30f90100
  0x00007ff60ccb44d4          505   7.0766e-43  f9010000
  0x00007ff60ccb44d5    469762049   4.2352e-22  0100001c
* 0x00007ff60ccb4508   -519994400  -1.4932e+20  e08301e1
  0x00007ff60ccb4509   -119471741  -3.6509e+34  8301e1f8
  0x00007ff60ccb450a     33087745   9.1424e-38  01e1f801
* 0x00007ff60ccb450c          504   7.0625e-43  f8010000
  0x00007ff60ccb450d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4541   -114254190  -5.7316e+34  929e30f9
  0x00007ff60ccb4542     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb4543       129328   1.8123e-40  30f90100
  0x00007ff60ccb4544          505   7.0766e-43  f9010000
  0x00007ff60ccb4545   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccb4610    815699504   1.1539e-09  30969e30
  0x00007ff60ccb4611   -114254186  -5.7316e+34  969e30f9
  0x00007ff60ccb4612     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb4613       129328   1.8123e-40  30f90100
  0x00007ff60ccb4614          505   7.0766e-43  f9010000
  0x00007ff60ccb4615   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccb4959   -119471724  -3.6509e+34  9401e1f8
  0x00007ff60ccb495a     33087745   9.1424e-38  01e1f801
  0x00007ff60ccb495b       129249   1.8112e-40  e1f80100
  0x00007ff60ccb495c          504   7.0625e-43  f8010000
  0x00007ff60ccb495d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4a20   -519999184  -1.4924e+20  307101e1
  0x00007ff60ccb4a21   -119471759  -3.6509e+34  7101e1f8
  0x00007ff60ccb4a22     33087745   9.1424e-38  01e1f801
* 0x00007ff60ccb4a24          504   7.0625e-43  f8010000
  0x00007ff60ccb4a25   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4a88    815707408   1.1547e-09  10b59e30
  0x00007ff60ccb4a89   -114254155  -5.7316e+34  b59e30f9
  0x00007ff60ccb4a8a     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb4a8b       129328   1.8123e-40  30f90100
  0x00007ff60ccb4a8c          505   7.0766e-43  f9010000
  0x00007ff60ccb4a8d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4b68    815718016   1.1559e-09  80de9e30
  0x00007ff60ccb4b69   -114254114  -5.7317e+34  de9e30f9
  0x00007ff60ccb4b6a     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb4b6b       129328   1.8123e-40  30f90100
  0x00007ff60ccb4b6c          505   7.0766e-43  f9010000
  0x00007ff60ccb4b6d  -1543503871  -2.7756e-17  010000a4
* 0x00007ff60ccb4d68    815701792   1.1541e-09  209f9e30
  0x00007ff60ccb4d69   -114254177  -5.7316e+34  9f9e30f9
  0x00007ff60ccb4d6a     33108126   9.1538e-38  9e30f901
  0x00007ff60ccb4d6b       129328   1.8123e-40  30f90100
  0x00007ff60ccb4d6c          505   7.0766e-43  f9010000
  0x00007ff60ccb4d6d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb5d28   -994901792  -1.4320e+03  e000b3c4
  0x00007ff60ccb5d29   -121326848  -3.1916e+34  00b3c4f8
  0x00007ff60ccb5d2a     33080499   9.1383e-38  b3c4f801
* 0x00007ff60ccb5d2c          504   7.0625e-43  f8010000
  0x00007ff60ccb5d2d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb73c0   1032278701   6.6076e-02  ad52873d
  0x00007ff60ccb73c1      4032338   5.6505e-39  52873d00
  0x00007ff60ccb73c2        15751   2.2072e-41  873d0000
* 0x00007ff60ccb73c8     50186624   3.7291e-37  80c9fd02
  0x00007ff60ccb73c9   -134021687  -1.0627e+34  c9fd02f8
  0x00007ff60ccb73ca     33030909   9.1105e-38  fd02f801
  0x00007ff60ccb73cb       129026   1.8080e-40  02f80100
  0x00007ff60ccb73cc          504   7.0625e-43  f8010000
  0x00007ff60ccb73cd   1392508929   5.4976e+11  01000053
* 0x00007ff60ccb73d8     50186816   3.7291e-37  40cafd02
  0x00007ff60ccb73d9   -134021686  -1.0627e+34  cafd02f8
  0x00007ff60ccb73da     33030909   9.1105e-38  fd02f801
  0x00007ff60ccb73db       129026   1.8080e-40  02f80100
  0x00007ff60ccb73dc          504   7.0625e-43  f8010000
  0x00007ff60ccb73dd   1392508929   5.4976e+11  01000053
* 0x00007ff60ccb73f0   1777162986   3.5868e+25  ea5aed69
  0x00007ff60ccb73f1      6942042   9.7279e-39  5aed6900
* 0x00007ff60ccb7401   -134021690  -1.0627e+34  c6fd02f8
  0x00007ff60ccb7402     33030909   9.1105e-38  fd02f801
  0x00007ff60ccb7403       129026   1.8080e-40  02f80100
  0x00007ff60ccb7404          504   7.0625e-43  f8010000
  0x00007ff60ccb7405   1392508929   5.4976e+11  01000053
* 0x00007ff60ccb7410     50122800   3.7148e-37  30d0fc02
  0x00007ff60ccb7411   -134021936  -1.0627e+34  d0fc02f8
