# 49971 addresses changed in all 4 diffs
# values from level20.snap; addr  int32_le  float32  hex
* 0x00007ff60ccad008         1328   1.8609e-42  30050000
* 0x00007ff60ccad010         1332   1.8665e-42  34050000
* 0x00007ff60ccad018         1336   1.8721e-42  38050000
* 0x00007ff60ccad200   1669647635   4.8995e+21  13cd8463
  0x00007ff60ccad201    560170189   7.7086e-19  cd846321
  0x00007ff60ccad202    924935044   9.6195e-06  84632137
  0x00007ff60ccad203    -13164189  -2.4342e+38  632137ff
  0x00007ff60ccad204       -51423   nan  2137ffff
  0x00007ff60ccad205   -318767305  -2.4759e+27  37ffffec
* 0x00007ff60ccad208  -1669647636  -8.3115e-22  ec327b9c
  0x00007ff60ccad209   -560170190  -5.6378e+18  327b9cde
  0x00007ff60ccad20a   -924935045  -4.5591e+05  7b9cdec8
  0x00007ff60ccad20b     13164188   1.8447e-38  9cdec800
  0x00007ff60ccad20c        51422   7.2058e-41  dec80000
  0x00007ff60ccad20d   1962934472   1.6226e+32  c8000075
* 0x00007ff60ccad5c0   1445288176   4.5450e+13  f0582556
  0x00007ff60ccad5c1   -313121448  -4.1422e+27  582556ed
  0x00007ff60ccad5c2     32331301   8.7184e-38  2556ed01
  0x00007ff60ccad5c3       126294   1.7698e-40  56ed0100
  0x00007ff60ccad5c4          493   6.9084e-43  ed010000
  0x00007ff60ccad5c5   1124073473   1.2800e+02  01000043
* 0x00007ff60ccad8f0           15   2.1019e-44  0f000000
* 0x00007ff60ccade8a     32331769   8.7186e-38  f957ed01
  0x00007ff60ccade8b       126295   1.7698e-40  57ed0100
  0x00007ff60ccade8c          493   6.9084e-43  ed010000
  0x00007ff60ccade8d   -268435455  -1.5846e+29  010000f0
* 0x00007ff60ccadea2     32331767   8.7186e-38  f757ed01
  0x00007ff60ccadea3       126295   1.7698e-40  57ed0100
  0x00007ff60ccadea4          493   6.9084e-43  ed010000
  0x00007ff60ccadea5    536870913   1.0842e-19  01000020
* 0x00007ff60ccadec2     32331769   8.7186e-38  f957ed01
  0x00007ff60ccadec3       126295   1.7698e-40  57ed0100
  0x00007ff60ccadec4          493   6.9084e-43  ed010000
  0x00007ff60ccadec5            1   1.4013e-45  01000000
* 0x00007ff60ccb1869   -298783477  -1.3689e+28  0bed30ee
  0x00007ff60ccb186a     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccb186b       126512   1.7728e-40  30ee0100
  0x00007ff60ccb186c          494   6.9224e-43  ee010000
  0x00007ff60ccb186d   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccb19a9   -299105950  -1.3308e+28  62012cee
  0x00007ff60ccb19aa     32386049   8.7491e-38  012cee01
  0x00007ff60ccb19ab       126508   1.7728e-40  2cee0100
  0x00007ff60ccb19ac          494   6.9224e-43  ee010000
  0x00007ff60ccb19ad   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccb19f8   1391409248   5.1372e+11  6038ef52
  0x00007ff60ccb19f9   -313331912  -4.0801e+27  38ef52ed
  0x00007ff60ccb19fa     32330479   8.7179e-38  ef52ed01
  0x00007ff60ccb19fb       126290   1.7697e-40  52ed0100
  0x00007ff60ccb19fc          493   6.9084e-43  ed010000
  0x00007ff60ccb19fd   1073741825   2.0000e+00  01000040
* 0x00007ff60ccb29a8    606279952   3.5366e-17  10192324
  0x00007ff60ccb29a9   -316398823  -3.1749e+27  192324ed
  0x00007ff60ccb29aa     32318499   8.7112e-38  2324ed01
  0x00007ff60ccb29ab       126244   1.7691e-40  24ed0100
  0x00007ff60ccb29ac          493   6.9084e-43  ed010000
  0x00007ff60ccb29ad   1073741825   2.0000e+00  01000040
* 0x00007ff60ccb29b0    606280000   3.5366e-17  40192324
  0x00007ff60ccb29b1   -316398823  -3.1749e+27  192324ed
  0x00007ff60ccb29b2     32318499   8.7112e-38  2324ed01
  0x00007ff60ccb29b3       126244   1.7691e-40  24ed0100
  0x00007ff60ccb29b4          493   6.9084e-43  ed010000
  0x00007ff60ccb29b5    268435457   2.5244e-29  01000010
* 0x00007ff60ccb3918    820844480   1.7251e-09  c017ed30
  0x00007ff60ccb3919   -298783465  -1.3689e+28  17ed30ee
  0x00007ff60ccb391a     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccb391b       126512   1.7728e-40  30ee0100
  0x00007ff60ccb391c          494   6.9224e-43  ee010000
  0x00007ff60ccb391d   1073741825   2.0000e+00  01000040
* 0x00007ff60ccb3b49   -304468049  -8.4407e+27  af2fdaed
  0x00007ff60ccb3b4a     32365103   8.7373e-38  2fdaed01
* 0x00007ff60ccb3b4c          493   6.9084e-43  ed010000
  0x00007ff60ccb3b4d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4279   -298783459  -1.3689e+28  1ded30ee
  0x00007ff60ccb427a     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccb427b       126512   1.7728e-40  30ee0100
  0x00007ff60ccb427c          494   6.9224e-43  ee010000
  0x00007ff60ccb427d    872415233   1.1921e-07  01000034
* 0x00007ff60ccb44d1   -298785516  -1.3687e+28  14e530ee
  0x00007ff60ccb44d2     32387301   8.7498e-38  e530ee01
  0x00007ff60ccb44d3       126512   1.7728e-40  30ee0100
  0x00007ff60ccb44d4          494   6.9224e-43  ee010000
  0x00007ff60ccb44d5    469762049   4.2352e-22  0100001c
* 0x00007ff60ccb4509   -305500657  -7.8311e+27  0f6ecaed
  0x00007ff60ccb450a     32361070   8.7351e-38  6ecaed01
* 0x00007ff60ccb450c          493   6.9084e-43  ed010000
  0x00007ff60ccb450d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4541   -298783478  -1.3689e+28  0aed30ee
  0x00007ff60ccb4542     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccb4543       126512   1.7728e-40  30ee0100
  0x00007ff60ccb4544          494   6.9224e-43  ee010000
  0x00007ff60ccb4545   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccb4610    820842608   1.7249e-09  7010ed30
  0x00007ff60ccb4611   -298783472  -1.3689e+28  10ed30ee
  0x00007ff60ccb4612     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccb4613       126512   1.7728e-40  30ee0100
  0x00007ff60ccb4614          494   6.9224e-43  ee010000
  0x00007ff60ccb4615   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccb4959   -304260740  -8.5630e+27  7c59dded
  0x00007ff60ccb495a     32365913   8.7378e-38  59dded01
  0x00007ff60ccb495b       126429   1.7716e-40  dded0100
  0x00007ff60ccb495c          493   6.9084e-43  ed010000
  0x00007ff60ccb495d   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4a20   -898759008  -3.8998e+06  a0066eca
  0x00007ff60ccb4a21   -305500666  -7.8311e+27  066ecaed
  0x00007ff60ccb4a22     32361070   8.7351e-38  6ecaed01
* 0x00007ff60ccb4a24          493   6.9084e-43  ed010000
  0x00007ff60ccb4a25   1879048193   1.5846e+29  01000070
* 0x00007ff60ccb4a88    820846352   1.7253e-09  101fed30
